Welcome
SampleRate (Hz): Base: A0 0 27.5Hz, to A0, 4096Hz 0x1000
Base: A1 12 55Hz, to A♯2, 8679.13Hz 0x21e7
Base: A1 12 55Hz, to B2, 9195.22Hz 0x23eb
Base: A1 12 55Hz, to C3, 9742Hz 0x260e
Base: A1 12 55Hz, to C♯3, 10321.2Hz 0x2851
Base: A1 12 55Hz, to D3, 10935Hz 0x2ab7
Base: A1 12 55Hz, to D♯3, 11585.2Hz 0x2d41
Base: A1 12 55Hz, to E3, 12274.1Hz 0x2ff2
Base: A1 12 55Hz, to F3, 13004Hz 0x32cc
Base: A1 12 55Hz, to F♯3, 13777.2Hz 0x35d1
Base: A1 12 55Hz, to G3, 14596.5Hz 0x3905
Base: A1 12 55Hz, to G♯3, 15464.4Hz 0x3c68
Base: A1 12 55Hz, to A3, 16384Hz 0x3fff
Base: A♯1 13 58.2705Hz, to A0, 1933.05Hz 0x78d
Base: A♯1 13 58.2705Hz, to A♯0, 2048Hz 0x800
Base: A♯1 13 58.2705Hz, to B0, 2169.78Hz 0x87a
Base: A♯1 13 58.2705Hz, to C1, 2298.8Hz 0x8fb
Base: A♯1 13 58.2705Hz, to C♯1, 2435.49Hz 0x983
Base: A♯1 13 58.2705Hz, to D1, 2580.32Hz 0xa14
Base: A♯1 13 58.2705Hz, to D♯1, 2733.75Hz 0xaae
Base: A♯1 13 58.2705Hz, to E1, 2896.3Hz 0xb50
Base: A♯1 13 58.2705Hz, to F1, 3068.53Hz 0xbfd
Base: A♯1 13 58.2705Hz, to F♯1, 3251Hz 0xcb3
Base: A♯1 13 58.2705Hz, to G1, 3444.31Hz 0xd74
Base: A♯1 13 58.2705Hz, to G♯1, 3649.12Hz 0xe41
Base: A♯1 13 58.2705Hz, to A1, 3866.11Hz 0xf1a
Base: A♯1 13 58.2705Hz, to A♯1, 4096Hz 0x1000
Base: A♯1 13 58.2705Hz, to B1, 4339.56Hz 0x10f4
Base: A♯1 13 58.2705Hz, to C2, 4597.6Hz 0x11f6
Base: A♯1 13 58.2705Hz, to C♯2, 4870.99Hz 0x1307
Base: A♯1 13 58.2705Hz, to D2, 5160.63Hz 0x1429
Base: A♯1 13 58.2705Hz, to D♯2, 5467.5Hz 0x155b
Base: A♯1 13 58.2705Hz, to E2, 5792.62Hz 0x16a1
Base: A♯1 13 58.2705Hz, to F2, 6137.07Hz 0x17f9
Base: A♯1 13 58.2705Hz, to F♯2, 6501.99Hz 0x1966
Base: A♯1 13 58.2705Hz, to G2, 6888.62Hz 0x1ae9
Base: A♯1 13 58.2705Hz, to G♯2, 7298.23Hz 0x1c82
Base: A♯1 13 58.2705Hz, to A2, 7732.21Hz 0x1e34
Base: A♯1 13 58.2705Hz, to A♯2, 8192Hz 0x2000
Base: A♯1 13 58.2705Hz, to B2, 8679.13Hz 0x21e7
Base: A♯1 13 58.2705Hz, to C3, 9195.22Hz 0x23eb
Base: A♯1 13 58.2705Hz, to C♯3, 9741.96Hz 0x260e
Base: A♯1 13 58.2705Hz, to D3, 10321.2Hz 0x2851
Base: A♯1 13 58.2705Hz, to D♯3, 10935Hz 0x2ab7
Base: A♯1 13 58.2705Hz, to E3, 11585.2Hz 0x2d41
Base: A♯1 13 58.2705Hz, to F3, 12274.1Hz 0x2ff2
Base: A♯1 13 58.2705Hz, to F♯3, 13004Hz 0x32cc
Base: A♯1 13 58.2705Hz, to G3, 13777.3Hz 0x35d1
Base: A♯1 13 58.2705Hz, to G♯3, 14596.5Hz 0x3904
Base: A♯1 13 58.2705Hz, to A3, 15464.4Hz 0x3c68
Base: A♯1 13 58.2705Hz, to A♯3, 16384Hz 0x3fff
Base: B1 14 61.7354Hz, to A0, 1824.56Hz 0x721
Base: B1 14 61.7354Hz, to A♯0, 1933.05Hz 0x78d
Base: B1 14 61.7354Hz, to B0, 2048Hz 0x800
Base: B1 14 61.7354Hz, to C1, 2169.78Hz 0x87a
Base: B1 14 61.7354Hz, to C♯1, 2298.8Hz 0x8fb
Base: B1 14 61.7354Hz, to D1, 2435.5Hz 0x983
Base: B1 14 61.7354Hz, to D♯1, 2580.32Hz 0xa14
Base: B1 14 61.7354Hz, to E1, 2733.75Hz 0xaae
Base: B1 14 61.7354Hz, to F1, 2896.31Hz 0xb50
Base: B1 14 61.7354Hz, to F♯1, 3068.53Hz 0xbfd
Base: B1 14 61.7354Hz, to G1, 3251Hz 0xcb3
Base: B1 14 61.7354Hz, to G♯1, 3444.31Hz 0xd74
Base: B1 14 61.7354Hz, to A1, 3649.12Hz 0xe41
Base: B1 14 61.7354Hz, to A♯1, 3866.11Hz 0xf1a
Base: B1 14 61.7354Hz, to B1, 4096Hz 0x1000
Base: B1 14 61.7354Hz, to C2, 4339.56Hz 0x10f4
Base: B1 14 61.7354Hz, to C♯2, 4597.61Hz 0x11f6
Base: B1 14 61.7354Hz, to D2, 4870.99Hz 0x1307
Base: B1 14 61.7354Hz, to D♯2, 5160.63Hz 0x1429
Base: B1 14 61.7354Hz, to E2, 5467.51Hz 0x155c
Base: B1 14 61.7354Hz, to F2, 5792.62Hz 0x16a1
Base: B1 14 61.7354Hz, to F♯2, 6137.07Hz 0x17f9
Base: B1 14 61.7354Hz, to G2, 6502Hz 0x1966
Base: B1 14 61.7354Hz, to G♯2, 6888.61Hz 0x1ae9
Base: B1 14 61.7354Hz, to A2, 7298.24Hz 0x1c82
Base: B1 14 61.7354Hz, to A♯2, 7732.22Hz 0x1e34
Base: B1 14 61.7354Hz, to B2, 8192.01Hz 0x2000
Base: B1 14 61.7354Hz, to C3, 8679.14Hz 0x21e7
Base: B1 14 61.7354Hz, to C♯3, 9195.19Hz 0x23eb
Base: B1 14 61.7354Hz, to D3, 9741.96Hz 0x260e
Base: B1 14 61.7354Hz, to D♯3, 10321.2Hz 0x2851
Base: B1 14 61.7354Hz, to E3, 10935Hz 0x2ab7
Base: B1 14 61.7354Hz, to F3, 11585.2Hz 0x2d41
Base: B1 14 61.7354Hz, to F♯3, 12274.1Hz 0x2ff2
Base: B1 14 61.7354Hz, to G3, 13004Hz 0x32cc
Base: B1 14 61.7354Hz, to G♯3, 13777.2Hz 0x35d1
Base: B1 14 61.7354Hz, to A3, 14596.5Hz 0x3904
Base: B1 14 61.7354Hz, to A♯3, 15464.4Hz 0x3c68
Base: B1 14 61.7354Hz, to B3, 16384Hz 0x3fff
Base: C2 15 65.4064Hz, to A0, 1722.16Hz 0x6ba
Base: C2 15 65.4064Hz, to A♯0, 1824.56Hz 0x721
Base: C2 15 65.4064Hz, to B0, 1933.05Hz 0x78d
Base: C2 15 65.4064Hz, to C1, 2048Hz 0x800
Base: C2 15 65.4064Hz, to C♯1, 2169.78Hz 0x87a
Base: C2 15 65.4064Hz, to D1, 2298.8Hz 0x8fb
Base: C2 15 65.4064Hz, to D♯1, 2435.5Hz 0x983
Base: C2 15 65.4064Hz, to E1, 2580.31Hz 0xa14
Base: C2 15 65.4064Hz, to F1, 2733.75Hz 0xaae
Base: C2 15 65.4064Hz, to F♯1, 2896.31Hz 0xb50
Base: C2 15 65.4064Hz, to G1, 3068.53Hz 0xbfd
Base: C2 15 65.4064Hz, to G♯1, 3251Hz 0xcb3
Base: C2 15 65.4064Hz, to A1, 3444.31Hz 0xd74
Base: C2 15 65.4064Hz, to A♯1, 3649.12Hz 0xe41
Base: C2 15 65.4064Hz, to B1, 3866.11Hz 0xf1a
Base: C2 15 65.4064Hz, to C2, 4096Hz 0x1000
Base: C2 15 65.4064Hz, to C♯2, 4339.56Hz 0x10f4
Base: C2 15 65.4064Hz, to D2, 4597.6Hz 0x11f6
Base: C2 15 65.4064Hz, to D♯2, 4870.99Hz 0x1307
Base: C2 15 65.4064Hz, to E2, 5160.64Hz 0x1429
Base: C2 15 65.4064Hz, to F2, 5467.51Hz 0x155c
Base: C2 15 65.4064Hz, to F♯2, 5792.62Hz 0x16a1
Base: C2 15 65.4064Hz, to G2, 6137.07Hz 0x17f9
Base: C2 15 65.4064Hz, to G♯2, 6501.98Hz 0x1966
Base: C2 15 65.4064Hz, to A2, 6888.62Hz 0x1ae9
Base: C2 15 65.4064Hz, to A♯2, 7298.24Hz 0x1c82
Base: C2 15 65.4064Hz, to B2, 7732.23Hz 0x1e34
Base: C2 15 65.4064Hz, to C3, 8192.01Hz 0x2000
Base: C2 15 65.4064Hz, to C♯3, 8679.1Hz 0x21e7
Base: C2 15 65.4064Hz, to D3, 9195.18Hz 0x23eb
Base: C2 15 65.4064Hz, to D♯3, 9741.95Hz 0x260e
Base: C2 15 65.4064Hz, to E3, 10321.3Hz 0x2851
Base: C2 15 65.4064Hz, to F3, 10935Hz 0x2ab7
Base: C2 15 65.4064Hz, to F♯3, 11585.2Hz 0x2d41
Base: C2 15 65.4064Hz, to G3, 12274.1Hz 0x2ff2
Base: C2 15 65.4064Hz, to G♯3, 13004Hz 0x32cc
Base: C2 15 65.4064Hz, to A3, 13777.2Hz 0x35d1
Base: C2 15 65.4064Hz, to A♯3, 14596.5Hz 0x3904
Base: C2 15 65.4064Hz, to B3, 15464.5Hz 0x3c68
Base: C2 15 65.4064Hz, to C4, 16384Hz 0x3fff
Base: C♯2 16 69.2957Hz, to A0, 1625.5Hz 0x659
Base: C♯2 16 69.2957Hz, to A♯0, 1722.15Hz 0x6ba
Base: C♯2 16 69.2957Hz, to B0, 1824.56Hz 0x721
Base: C♯2 16 69.2957Hz, to C1, 1933.05Hz 0x78d
Base: C♯2 16 69.2957Hz, to C♯1, 2048Hz 0x800
Base: C♯2 16 69.2957Hz, to D1, 2169.78Hz 0x87a
Base: C♯2 16 69.2957Hz, to D♯1, 2298.8Hz 0x8fb
Base: C♯2 16 69.2957Hz, to E1, 2435.49Hz 0x983
Base: C♯2 16 69.2957Hz, to F1, 2580.31Hz 0xa14
Base: C♯2 16 69.2957Hz, to F♯1, 2733.75Hz 0xaae
Base: C♯2 16 69.2957Hz, to G1, 2896.31Hz 0xb50
Base: C♯2 16 69.2957Hz, to G♯1, 3068.53Hz 0xbfd
Base: C♯2 16 69.2957Hz, to A1, 3251Hz 0xcb3
Base: C♯2 16 69.2957Hz, to A♯1, 3444.31Hz 0xd74
Base: C♯2 16 69.2957Hz, to B1, 3649.12Hz 0xe41
Base: C♯2 16 69.2957Hz, to C2, 3866.11Hz 0xf1a
Base: C♯2 16 69.2957Hz, to C♯2, 4096Hz 0x1000
Base: C♯2 16 69.2957Hz, to D2, 4339.56Hz 0x10f4
Base: C♯2 16 69.2957Hz, to D♯2, 4597.6Hz 0x11f6
Base: C♯2 16 69.2957Hz, to E2, 4870.99Hz 0x1307
Base: C♯2 16 69.2957Hz, to F2, 5160.64Hz 0x1429
Base: C♯2 16 69.2957Hz, to F♯2, 5467.5Hz 0x155c
Base: C♯2 16 69.2957Hz, to G2, 5792.62Hz 0x16a1
Base: C♯2 16 69.2957Hz, to G♯2, 6137.05Hz 0x17f9
Base: C♯2 16 69.2957Hz, to A2, 6501.99Hz 0x1966
Base: C♯2 16 69.2957Hz, to A♯2, 6888.62Hz 0x1ae9
Base: C♯2 16 69.2957Hz, to B2, 7298.25Hz 0x1c82
Base: C♯2 16 69.2957Hz, to C3, 7732.23Hz 0x1e34
Base: C♯2 16 69.2957Hz, to C♯3, 8191.98Hz 0x2000
Base: C♯2 16 69.2957Hz, to D3, 8679.09Hz 0x21e7
Base: C♯2 16 69.2957Hz, to D♯3, 9195.17Hz 0x23eb
Base: C♯2 16 69.2957Hz, to E3, 9741.99Hz 0x260e
Base: C♯2 16 69.2957Hz, to F3, 10321.3Hz 0x2851
Base: C♯2 16 69.2957Hz, to F♯3, 10935Hz 0x2ab7
Base: C♯2 16 69.2957Hz, to G3, 11585.2Hz 0x2d41
Base: C♯2 16 69.2957Hz, to G♯3, 12274.1Hz 0x2ff2
Base: C♯2 16 69.2957Hz, to A3, 13004Hz 0x32cc
Base: C♯2 16 69.2957Hz, to A♯3, 13777.2Hz 0x35d1
Base: C♯2 16 69.2957Hz, to B3, 14596.5Hz 0x3904
Base: C♯2 16 69.2957Hz, to C4, 15464.5Hz 0x3c68
Base: C♯2 16 69.2957Hz, to C♯4, 16384Hz 0x3fff
Base: D2 17 73.4162Hz, to A0, 1534.27Hz 0x5fe
Base: D2 17 73.4162Hz, to A♯0, 1625.5Hz 0x659
Base: D2 17 73.4162Hz, to B0, 1722.16Hz 0x6ba
Base: D2 17 73.4162Hz, to C1, 1824.56Hz 0x721
Base: D2 17 73.4162Hz, to C♯1, 1933.05Hz 0x78d
Base: D2 17 73.4162Hz, to D1, 2048Hz 0x800
Base: D2 17 73.4162Hz, to D♯1, 2169.78Hz 0x87a
Base: D2 17 73.4162Hz, to E1, 2298.8Hz 0x8fb
Base: D2 17 73.4162Hz, to F1, 2435.49Hz 0x983
Base: D2 17 73.4162Hz, to F♯1, 2580.32Hz 0xa14
Base: D2 17 73.4162Hz, to G1, 2733.75Hz 0xaae
Base: D2 17 73.4162Hz, to G♯1, 2896.31Hz 0xb50
Base: D2 17 73.4162Hz, to A1, 3068.53Hz 0xbfd
Base: D2 17 73.4162Hz, to A♯1, 3251Hz 0xcb3
Base: D2 17 73.4162Hz, to B1, 3444.31Hz 0xd74
Base: D2 17 73.4162Hz, to C2, 3649.12Hz 0xe41
Base: D2 17 73.4162Hz, to C♯2, 3866.11Hz 0xf1a
Base: D2 17 73.4162Hz, to D2, 4096Hz 0x1000
Base: D2 17 73.4162Hz, to D♯2, 4339.56Hz 0x10f4
Base: D2 17 73.4162Hz, to E2, 4597.6Hz 0x11f6
Base: D2 17 73.4162Hz, to F2, 4870.99Hz 0x1307
Base: D2 17 73.4162Hz, to F♯2, 5160.64Hz 0x1429
Base: D2 17 73.4162Hz, to G2, 5467.51Hz 0x155c
Base: D2 17 73.4162Hz, to G♯2, 5792.61Hz 0x16a1
Base: D2 17 73.4162Hz, to A2, 6137.07Hz 0x17f9
Base: D2 17 73.4162Hz, to A♯2, 6502Hz 0x1966
Base: D2 17 73.4162Hz, to B2, 6888.63Hz 0x1ae9
Base: D2 17 73.4162Hz, to C3, 7298.25Hz 0x1c82
Base: D2 17 73.4162Hz, to C♯3, 7732.2Hz 0x1e34
Base: D2 17 73.4162Hz, to D3, 8191.98Hz 0x2000
Base: D2 17 73.4162Hz, to D♯3, 8679.09Hz 0x21e7
Base: D2 17 73.4162Hz, to E3, 9195.22Hz 0x23eb
Base: D2 17 73.4162Hz, to F3, 9741.98Hz 0x260e
Base: D2 17 73.4162Hz, to F♯3, 10321.3Hz 0x2851
Base: D2 17 73.4162Hz, to G3, 10935Hz 0x2ab7
Base: D2 17 73.4162Hz, to G♯3, 11585.2Hz 0x2d41
Base: D2 17 73.4162Hz, to A3, 12274.1Hz 0x2ff2
Base: D2 17 73.4162Hz, to A♯3, 13004Hz 0x32cc
Base: D2 17 73.4162Hz, to B3, 13777.3Hz 0x35d1
Base: D2 17 73.4162Hz, to C4, 14596.5Hz 0x3905
Base: D2 17 73.4162Hz, to C♯4, 15464.5Hz 0x3c68
Base: D2 17 73.4162Hz, to D4, 16384Hz 0x3fff
Base: D♯2 18 77.7817Hz, to A0, 1448.16Hz 0x5a8
Base: D♯2 18 77.7817Hz, to A♯0, 1534.27Hz 0x5fe
Base: D♯2 18 77.7817Hz, to B0, 1625.5Hz 0x659
Base: D♯2 18 77.7817Hz, to C1, 1722.16Hz 0x6ba
Base: D♯2 18 77.7817Hz, to C♯1, 1824.56Hz 0x721
Base: D♯2 18 77.7817Hz, to D1, 1933.06Hz 0x78d
Base: D♯2 18 77.7817Hz, to D♯1, 2048Hz 0x800
Base: D♯2 18 77.7817Hz, to E1, 2169.78Hz 0x87a
Base: D♯2 18 77.7817Hz, to F1, 2298.8Hz 0x8fb
Base: D♯2 18 77.7817Hz, to F♯1, 2435.5Hz 0x983
Base: D♯2 18 77.7817Hz, to G1, 2580.32Hz 0xa14
Base: D♯2 18 77.7817Hz, to G♯1, 2733.75Hz 0xaae
Base: D♯2 18 77.7817Hz, to A1, 2896.31Hz 0xb50
Base: D♯2 18 77.7817Hz, to A♯1, 3068.54Hz 0xbfd
Base: D♯2 18 77.7817Hz, to B1, 3251Hz 0xcb3
Base: D♯2 18 77.7817Hz, to C2, 3444.31Hz 0xd74
Base: D♯2 18 77.7817Hz, to C♯2, 3649.13Hz 0xe41
Base: D♯2 18 77.7817Hz, to D2, 3866.11Hz 0xf1a
Base: D♯2 18 77.7817Hz, to D♯2, 4096Hz 0x1000
Base: D♯2 18 77.7817Hz, to E2, 4339.56Hz 0x10f4
Base: D♯2 18 77.7817Hz, to F2, 4597.61Hz 0x11f6
Base: D♯2 18 77.7817Hz, to F♯2, 4870.99Hz 0x1307
Base: D♯2 18 77.7817Hz, to G2, 5160.64Hz 0x1429
Base: D♯2 18 77.7817Hz, to G♯2, 5467.5Hz 0x155b
Base: D♯2 18 77.7817Hz, to A2, 5792.62Hz 0x16a1
Base: D♯2 18 77.7817Hz, to A♯2, 6137.07Hz 0x17f9
Base: D♯2 18 77.7817Hz, to B2, 6502.01Hz 0x1966
Base: D♯2 18 77.7817Hz, to C3, 6888.64Hz 0x1ae9
Base: D♯2 18 77.7817Hz, to C♯3, 7298.23Hz 0x1c82
Base: D♯2 18 77.7817Hz, to D3, 7732.2Hz 0x1e34
Base: D♯2 18 77.7817Hz, to D♯3, 8191.98Hz 0x2000
Base: D♯2 18 77.7817Hz, to E3, 8679.14Hz 0x21e7
Base: D♯2 18 77.7817Hz, to F3, 9195.21Hz 0x23eb
Base: D♯2 18 77.7817Hz, to F♯3, 9741.98Hz 0x260e
Base: D♯2 18 77.7817Hz, to G3, 10321.3Hz 0x2851
Base: D♯2 18 77.7817Hz, to G♯3, 10935Hz 0x2ab7
Base: D♯2 18 77.7817Hz, to A3, 11585.2Hz 0x2d41
Base: D♯2 18 77.7817Hz, to A♯3, 12274.1Hz 0x2ff2
Base: D♯2 18 77.7817Hz, to B3, 13004Hz 0x32cc
Base: D♯2 18 77.7817Hz, to C4, 13777.3Hz 0x35d1
Base: D♯2 18 77.7817Hz, to C♯4, 14596.5Hz 0x3905
Base: D♯2 18 77.7817Hz, to D4, 15464.5Hz 0x3c68
Base: D♯2 18 77.7817Hz, to D♯4, 16384Hz 0x3fff
Base: E2 19 82.4069Hz, to A0, 1366.88Hz 0x557
Base: E2 19 82.4069Hz, to A♯0, 1448.15Hz 0x5a8
Base: E2 19 82.4069Hz, to B0, 1534.27Hz 0x5fe
Base: E2 19 82.4069Hz, to C1, 1625.5Hz 0x659
Base: E2 19 82.4069Hz, to C♯1, 1722.15Hz 0x6ba
Base: E2 19 82.4069Hz, to D1, 1824.56Hz 0x721
Base: E2 19 82.4069Hz, to D♯1, 1933.06Hz 0x78d
Base: E2 19 82.4069Hz, to E1, 2048Hz 0x800
Base: E2 19 82.4069Hz, to F1, 2169.78Hz 0x87a
Base: E2 19 82.4069Hz, to F♯1, 2298.8Hz 0x8fb
Base: E2 19 82.4069Hz, to G1, 2435.49Hz 0x983
Base: E2 19 82.4069Hz, to G♯1, 2580.32Hz 0xa14
Base: E2 19 82.4069Hz, to A1, 2733.75Hz 0xaae
Base: E2 19 82.4069Hz, to A♯1, 2896.31Hz 0xb50
Base: E2 19 82.4069Hz, to B1, 3068.53Hz 0xbfd
Base: E2 19 82.4069Hz, to C2, 3251Hz 0xcb3
Base: E2 19 82.4069Hz, to C♯2, 3444.31Hz 0xd74
Base: E2 19 82.4069Hz, to D2, 3649.12Hz 0xe41
Base: E2 19 82.4069Hz, to D♯2, 3866.11Hz 0xf1a
Base: E2 19 82.4069Hz, to E2, 4096Hz 0x1000
Base: E2 19 82.4069Hz, to F2, 4339.56Hz 0x10f4
Base: E2 19 82.4069Hz, to F♯2, 4597.6Hz 0x11f6
Base: E2 19 82.4069Hz, to G2, 4870.99Hz 0x1307
Base: E2 19 82.4069Hz, to G♯2, 5160.63Hz 0x1429
Base: E2 19 82.4069Hz, to A2, 5467.5Hz 0x155c
Base: E2 19 82.4069Hz, to A♯2, 5792.62Hz 0x16a1
Base: E2 19 82.4069Hz, to B2, 6137.07Hz 0x17f9
Base: E2 19 82.4069Hz, to C3, 6502Hz 0x1966
Base: E2 19 82.4069Hz, to C♯3, 6888.61Hz 0x1ae9
Base: E2 19 82.4069Hz, to D3, 7298.22Hz 0x1c82
Base: E2 19 82.4069Hz, to D♯3, 7732.19Hz 0x1e34
Base: E2 19 82.4069Hz, to E3, 8192.01Hz 0x2000
Base: E2 19 82.4069Hz, to F3, 8679.12Hz 0x21e7
Base: E2 19 82.4069Hz, to F♯3, 9195.2Hz 0x23eb
Base: E2 19 82.4069Hz, to G3, 9742Hz 0x260e
Base: E2 19 82.4069Hz, to G♯3, 10321.3Hz 0x2851
Base: E2 19 82.4069Hz, to A3, 10935Hz 0x2ab7
Base: E2 19 82.4069Hz, to A♯3, 11585.2Hz 0x2d41
Base: E2 19 82.4069Hz, to B3, 12274.1Hz 0x2ff2
Base: E2 19 82.4069Hz, to C4, 13004Hz 0x32cc
Base: E2 19 82.4069Hz, to C♯4, 13777.3Hz 0x35d1
Base: E2 19 82.4069Hz, to D4, 14596.5Hz 0x3904
Base: E2 19 82.4069Hz, to D♯4, 15464.4Hz 0x3c68
Base: E2 19 82.4069Hz, to E4, 16384Hz 0x3fff
Base: F2 20 87.3071Hz, to A0, 1290.16Hz 0x50a
Base: F2 20 87.3071Hz, to A♯0, 1366.87Hz 0x557
Base: F2 20 87.3071Hz, to B0, 1448.15Hz 0x5a8
Base: F2 20 87.3071Hz, to C1, 1534.27Hz 0x5fe
Base: F2 20 87.3071Hz, to C♯1, 1625.5Hz 0x659
Base: F2 20 87.3071Hz, to D1, 1722.16Hz 0x6ba
Base: F2 20 87.3071Hz, to D♯1, 1824.56Hz 0x721
Base: F2 20 87.3071Hz, to E1, 1933.05Hz 0x78d
Base: F2 20 87.3071Hz, to F1, 2048Hz 0x800
Base: F2 20 87.3071Hz, to F♯1, 2169.78Hz 0x87a
Base: F2 20 87.3071Hz, to G1, 2298.8Hz 0x8fb
Base: F2 20 87.3071Hz, to G♯1, 2435.5Hz 0x983
Base: F2 20 87.3071Hz, to A1, 2580.32Hz 0xa14
Base: F2 20 87.3071Hz, to A♯1, 2733.75Hz 0xaae
Base: F2 20 87.3071Hz, to B1, 2896.31Hz 0xb50
Base: F2 20 87.3071Hz, to C2, 3068.53Hz 0xbfd
Base: F2 20 87.3071Hz, to C♯2, 3251Hz 0xcb3
Base: F2 20 87.3071Hz, to D2, 3444.31Hz 0xd74
Base: F2 20 87.3071Hz, to D♯2, 3649.12Hz 0xe41
Base: F2 20 87.3071Hz, to E2, 3866.11Hz 0xf1a
Base: F2 20 87.3071Hz, to F2, 4096Hz 0x1000
Base: F2 20 87.3071Hz, to F♯2, 4339.56Hz 0x10f4
Base: F2 20 87.3071Hz, to G2, 4597.6Hz 0x11f6
Base: F2 20 87.3071Hz, to G♯2, 4870.98Hz 0x1307
Base: F2 20 87.3071Hz, to A2, 5160.63Hz 0x1429
Base: F2 20 87.3071Hz, to A♯2, 5467.5Hz 0x155c
Base: F2 20 87.3071Hz, to B2, 5792.62Hz 0x16a1
Base: F2 20 87.3071Hz, to C3, 6137.07Hz 0x17f9
Base: F2 20 87.3071Hz, to C♯3, 6501.98Hz 0x1966
Base: F2 20 87.3071Hz, to D3, 6888.6Hz 0x1ae9
Base: F2 20 87.3071Hz, to D♯3, 7298.22Hz 0x1c82
Base: F2 20 87.3071Hz, to E3, 7732.23Hz 0x1e34
Base: F2 20 87.3071Hz, to F3, 8191.99Hz 0x2000
Base: F2 20 87.3071Hz, to F♯3, 8679.11Hz 0x21e7
Base: F2 20 87.3071Hz, to G3, 9195.22Hz 0x23eb
Base: F2 20 87.3071Hz, to G♯3, 9741.96Hz 0x260e
Base: F2 20 87.3071Hz, to A3, 10321.3Hz 0x2851
Base: F2 20 87.3071Hz, to A♯3, 10935Hz 0x2ab7
Base: F2 20 87.3071Hz, to B3, 11585.2Hz 0x2d41
Base: F2 20 87.3071Hz, to C4, 12274.1Hz 0x2ff2
Base: F2 20 87.3071Hz, to C♯4, 13004Hz 0x32cc
Base: F2 20 87.3071Hz, to D4, 13777.3Hz 0x35d1
Base: F2 20 87.3071Hz, to D♯4, 14596.5Hz 0x3904
Base: F2 20 87.3071Hz, to E4, 15464.5Hz 0x3c68
Base: F2 20 87.3071Hz, to F4, 16384Hz 0x3fff
Base: F♯2 21 92.4986Hz, to A0, 1217.75Hz 0x4c2
Base: F♯2 21 92.4986Hz, to A♯0, 1290.16Hz 0x50a
Base: F♯2 21 92.4986Hz, to B0, 1366.88Hz 0x557
Base: F♯2 21 92.4986Hz, to C1, 1448.16Hz 0x5a8
Base: F♯2 21 92.4986Hz, to C♯1, 1534.27Hz 0x5fe
Base: F♯2 21 92.4986Hz, to D1, 1625.5Hz 0x659
Base: F♯2 21 92.4986Hz, to D♯1, 1722.16Hz 0x6ba
Base: F♯2 21 92.4986Hz, to E1, 1824.56Hz 0x721
Base: F♯2 21 92.4986Hz, to F1, 1933.05Hz 0x78d
Base: F♯2 21 92.4986Hz, to F♯1, 2048Hz 0x800
Base: F♯2 21 92.4986Hz, to G1, 2169.78Hz 0x87a
Base: F♯2 21 92.4986Hz, to G♯1, 2298.8Hz 0x8fb
Base: F♯2 21 92.4986Hz, to A1, 2435.5Hz 0x983
Base: F♯2 21 92.4986Hz, to A♯1, 2580.32Hz 0xa14
Base: F♯2 21 92.4986Hz, to B1, 2733.75Hz 0xaae
Base: F♯2 21 92.4986Hz, to C2, 2896.31Hz 0xb50
Base: F♯2 21 92.4986Hz, to C♯2, 3068.54Hz 0xbfd
Base: F♯2 21 92.4986Hz, to D2, 3251Hz 0xcb3
Base: F♯2 21 92.4986Hz, to D♯2, 3444.31Hz 0xd74
Base: F♯2 21 92.4986Hz, to E2, 3649.12Hz 0xe41
Base: F♯2 21 92.4986Hz, to F2, 3866.11Hz 0xf1a
Base: F♯2 21 92.4986Hz, to F♯2, 4096Hz 0x1000
Base: F♯2 21 92.4986Hz, to G2, 4339.56Hz 0x10f4
Base: F♯2 21 92.4986Hz, to G♯2, 4597.6Hz 0x11f6
Base: F♯2 21 92.4986Hz, to A2, 4870.99Hz 0x1307
Base: F♯2 21 92.4986Hz, to A♯2, 5160.64Hz 0x1429
Base: F♯2 21 92.4986Hz, to B2, 5467.51Hz 0x155c
Base: F♯2 21 92.4986Hz, to C3, 5792.63Hz 0x16a1
Base: F♯2 21 92.4986Hz, to C♯3, 6137.05Hz 0x17f9
Base: F♯2 21 92.4986Hz, to D3, 6501.98Hz 0x1966
Base: F♯2 21 92.4986Hz, to D♯3, 6888.6Hz 0x1ae9
Base: F♯2 21 92.4986Hz, to E3, 7298.25Hz 0x1c82
Base: F♯2 21 92.4986Hz, to F3, 7732.21Hz 0x1e34
Base: F♯2 21 92.4986Hz, to F♯3, 8191.99Hz 0x2000
Base: F♯2 21 92.4986Hz, to G3, 8679.13Hz 0x21e7
Base: F♯2 21 92.4986Hz, to G♯3, 9195.19Hz 0x23eb
Base: F♯2 21 92.4986Hz, to A3, 9741.99Hz 0x260e
Base: F♯2 21 92.4986Hz, to A♯3, 10321.3Hz 0x2851
Base: F♯2 21 92.4986Hz, to B3, 10935Hz 0x2ab7
Base: F♯2 21 92.4986Hz, to C4, 11585.3Hz 0x2d41
Base: F♯2 21 92.4986Hz, to C♯4, 12274.1Hz 0x2ff2
Base: F♯2 21 92.4986Hz, to D4, 13004Hz 0x32cc
Base: F♯2 21 92.4986Hz, to D♯4, 13777.2Hz 0x35d1
Base: F♯2 21 92.4986Hz, to E4, 14596.5Hz 0x3905
Base: F♯2 21 92.4986Hz, to F4, 15464.4Hz 0x3c68
Base: F♯2 21 92.4986Hz, to F♯4, 16384Hz 0x3fff
